name,sid,reason,traveltime,studytime,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health
Leslie,F202400396,course,2,2,no,yes,no,4,3,4,1,1,3
Carl,F202400397,course,1,2,no,yes,no,5,3,3,1,1,3
Sophia,F202400398,other,1,2,no,yes,no,4,3,2,2,3,3
Raymond,F202400399,home,1,3,yes,yes,yes,3,2,2,1,1,5
Paige,F202400400,home,1,2,no,yes,no,4,3,2,1,2,5
Diane,F202400401,reputation,1,2,yes,yes,no,5,4,2,1,2,5
Gerald,F202400402,home,1,2,no,yes,no,4,4,4,1,1,3
Owen,F202400403,home,2,2,no,yes,no,4,1,4,1,1,1
Adrian,F202400404,home,1,2,no,yes,no,4,2,2,1,1,1
William,F202400405,home,1,2,yes,yes,no,5,5,1,1,1,5
Jerry,F202400406,reputation,1,2,no,yes,no,3,3,3,1,2,2
Carter,F202400407,reputation,3,3,yes,yes,no,5,2,2,1,1,4
Isabella,F202400408,course,1,1,yes,yes,no,4,3,3,1,3,5
Adelaide,F202400409,course,2,2,no,yes,no,5,4,3,1,2,3
Jackson,F202400410,home,1,3,no,yes,yes,4,5,2,1,1,3
Caleb,F202400411,home,1,1,no,yes,no,4,4,4,1,2,2
Alyssa,F202400412,reputation,1,3,yes,yes,no,3,2,3,1,2,2
Emmett,F202400413,reputation,3,2,yes,yes,no,5,3,2,1,1,4
Bethany,F202400414,course,1,1,yes,yes,no,5,5,5,2,4,5
Jacob,F202400415,home,1,1,yes,yes,no,3,1,3,1,3,5
Maxwell,F202400416,reputation,1,2,no,yes,no,4,4,1,1,1,1
Janet,F202400417,other,1,1,no,yes,no,5,4,2,1,1,5
Adelaide,F202400418,course,1,2,yes,yes,no,4,5,1,1,3,5
Corey,F202400419,reputation,2,2,yes,yes,no,5,4,4,2,4,5
Warren,F202400420,course,1,3,yes,yes,no,4,3,2,1,1,5
Bryan,F202400421,home,1,1,no,yes,no,1,2,2,1,3,5
Joshua,F202400422,home,1,1,no,yes,no,4,2,2,1,2,5
Harold,F202400423,other,1,1,no,yes,no,2,2,4,2,4,1
Brian,F202400424,home,1,2,yes,yes,no,5,3,3,1,1,5
Jennifer,F202400425,home,1,2,yes,yes,yes,4,4,5,5,5,5
Robin,F202400426,home,1,2,no,yes,no,5,4,2,3,4,5
Ellen,F202400427,reputation,2,2,yes,yes,no,4,3,1,1,1,5
Steven,F202400428,course,1,2,yes,yes,yes,4,5,2,1,1,5
Wendy,F202400429,course,1,2,yes,yes,no,5,3,2,1,1,2
Eden,F202400430,home,1,1,no,yes,no,5,4,3,1,1,5
Malcolm,F202400431,other,2,1,yes,yes,no,3,5,1,1,1,5
Harry,F202400432,home,1,3,yes,yes,no,5,4,3,1,1,4
Drake,F202400433,reputation,2,3,yes,yes,yes,2,4,3,1,1,5
Thomas,F202400434,course,1,3,yes,yes,no,4,3,2,1,1,5
Connie,F202400435,reputation,1,1,yes,yes,no,4,3,1,1,1,2
Brooke,F202400436,home,2,2,yes,yes,yes,3,3,3,1,2,3
Christina,F202400437,home,1,1,no,yes,yes,5,4,3,2,4,5
Vincent,F202400438,course,1,2,yes,yes,no,4,3,3,1,1,5
Emmett,F202400439,course,1,1,no,yes,no,5,4,1,1,1,1
Irene,F202400440,course,2,2,yes,yes,no,4,3,3,2,2,5
Julian,F202400441,course,1,2,yes,yes,yes,5,2,2,1,1,5
Kim,F202400442,home,1,2,no,yes,no,2,3,5,1,4,3
Knox,F202400443,reputation,1,4,yes,yes,no,4,2,2,1,1,2
Monica,F202400444,home,1,2,no,yes,no,4,3,3,2,2,5
Michelle,F202400445,other,1,2,yes,yes,no,4,4,4,1,1,3
Isaac,F202400446,course,3,2,no,yes,no,4,3,3,2,3,4
Ruth,F202400447,other,1,2,no,yes,no,4,3,3,1,1,5
Karen,F202400448,other,2,1,no,yes,no,5,5,5,3,4,5
Lynn,F202400449,course,1,1,no,yes,no,3,3,4,2,3,5
Ronald,F202400450,other,1,1,no,yes,no,5,3,4,4,4,1
Roy,F202400451,other,1,2,yes,yes,yes,5,3,4,1,1,2
Veronica,F202400452,reputation,1,2,yes,yes,no,4,3,2,1,1,1
Paula,F202400453,reputation,1,2,yes,yes,no,3,2,2,1,1,5
Janice,F202400454,home,1,2,yes,yes,no,4,3,2,1,1,5
Autumn,F202400455,course,1,2,no,yes,no,4,2,3,1,1,5
Corey,F202400456,other,1,2,yes,yes,no,2,4,4,2,3,4
Steven,F202400457,course,4,1,yes,yes,yes,5,5,5,5,5,5
Lucas,F202400458,reputation,1,2,yes,yes,no,4,4,3,1,1,1
Martha,F202400459,home,1,3,yes,yes,no,3,4,4,2,4,4
Emily,F202400460,reputation,1,2,yes,yes,yes,4,4,4,2,4,2
Cole,F202400461,course,3,2,yes,yes,no,5,4,3,1,2,1
Norman,F202400462,reputation,1,4,yes,yes,yes,1,3,3,5,5,3
Gabriel,F202400463,course,1,4,no,yes,no,4,3,3,1,2,5
Clayton,F202400464,reputation,2,2,no,yes,no,4,1,3,1,3,4
Teresa,F202400465,reputation,2,4,no,yes,no,4,4,2,2,3,3
Russell,F202400466,reputation,2,4,no,yes,no,4,3,2,1,1,5
Sydney,F202400467,course,1,4,no,yes,no,3,3,3,1,1,3
Harper,F202400468,reputation,1,2,no,yes,yes,3,3,4,2,4,5
Cynthia,F202400469,reputation,1,1,yes,yes,no,5,3,2,2,2,5
Isabella,F202400470,home,1,2,yes,yes,no,4,3,3,2,4,5
Carl,F202400471,home,1,2,yes,yes,no,4,3,3,2,3,5
Faith,F202400472,course,2,4,yes,yes,no,3,4,3,1,1,1
Frances,F202400473,reputation,1,4,no,yes,yes,5,2,3,1,3,3
Ellen,F202400474,home,2,1,yes,no,no,4,5,1,1,1,3
Lori,F202400475,course,1,2,no,yes,no,2,4,3,1,2,3
Louis,F202400476,course,1,1,yes,yes,yes,3,2,2,1,3,3
Joyce,F202400477,home,1,3,no,yes,no,5,3,2,1,2,5
Aaron,F202400478,reputation,1,2,no,yes,no,4,4,4,1,1,5
Nash,F202400479,home,2,2,yes,yes,no,5,3,3,1,3,4
Jane,F202400480,home,1,2,yes,yes,no,4,3,2,2,3,4
Karen,F202400481,reputation,2,2,no,yes,yes,4,4,4,2,3,5
Mason,F202400482,course,1,2,no,yes,no,4,3,4,1,2,2
Samantha,F202400483,reputation,1,3,yes,yes,no,5,3,3,1,3,1
Todd,F202400484,reputation,2,2,yes,yes,no,4,4,2,1,1,3
Dale,F202400485,reputation,1,2,no,yes,no,4,1,3,3,5,5
Owen,F202400486,home,1,3,no,yes,yes,4,3,3,1,3,4
Gregory,F202400487,reputation,1,1,yes,yes,no,4,5,5,1,3,1
Catherine,F202400488,home,1,2,no,yes,no,3,3,3,2,3,2
Joseph,F202400489,home,2,2,yes,yes,no,5,3,3,1,1,1
Brenda,F202400490,reputation,1,4,yes,yes,no,4,3,4,1,1,4
Lucas,F202400491,home,2,4,yes,yes,no,3,1,2,1,1,1
Gabriel,F202400492,reputation,2,1,yes,yes,no,3,3,3,1,1,4
Veronica,F202400493,course,1,2,no,yes,yes,4,3,5,1,1,5
Mike,F202400494,reputation,1,1,yes,yes,no,5,3,4,1,2,1
Jimmy,F202400495,course,1,3,no,yes,no,5,3,5,1,1,3
Maddox,F202400496,other,1,1,yes,yes,no,4,5,5,5,5,4
Ellen,F202400497,other,1,3,yes,yes,yes,4,4,3,1,1,4
Esther,F202400498,course,1,1,yes,yes,no,5,3,3,1,1,5
Cody,F202400499,home,2,2,no,yes,no,4,3,5,1,1,2
Lois,F202400500,course,1,2,yes,yes,no,5,4,4,1,1,1
Nathan,F202400501,reputation,1,4,no,yes,no,4,3,3,1,1,4
Karen,F202400502,course,1,4,no,yes,no,5,1,2,1,1,3
Kyle,F202400503,home,1,3,yes,yes,no,5,3,3,1,1,5
Lynn,F202400504,home,4,4,yes,yes,yes,1,3,5,3,5,1
Carter,F202400505,other,1,3,yes,yes,yes,5,4,5,1,1,4
August,F202400506,course,1,1,yes,yes,no,5,5,3,1,1,4
Cameron,F202400507,reputation,1,3,yes,yes,no,4,1,2,1,1,2
Felix,F202400508,home,1,2,yes,yes,no,3,1,2,1,1,5
Deborah,F202400509,course,1,1,no,yes,no,3,5,2,1,1,3
Ruby,F202400510,reputation,1,2,yes,yes,yes,5,4,2,1,1,5
Douglas,F202400511,course,1,2,yes,yes,no,5,4,4,1,2,5
Ruth,F202400512,reputation,2,2,yes,yes,no,4,4,3,1,1,2
Quinn,F202400513,home,2,1,yes,yes,no,5,4,2,1,1,5
Marie,F202400514,course,3,2,yes,yes,no,5,2,4,1,4,5
Jasper,F202400515,reputation,1,1,no,yes,no,3,4,3,1,2,4
Helen,F202400516,course,1,2,no,yes,no,3,2,3,1,2,1
Tanya,F202400517,home,1,4,yes,yes,no,5,5,4,1,2,5
Lynn,F202400518,course,2,2,yes,yes,yes,4,2,2,1,2,5
Heather,F202400519,course,1,1,yes,yes,no,3,4,4,1,4,5
Megan,F202400520,home,1,2,no,yes,yes,5,4,4,1,1,5
Emily,F202400521,home,1,1,no,yes,no,5,5,5,3,2,5
Kelly,F202400522,home,1,2,yes,yes,yes,5,3,2,1,1,1
Blair,F202400523,course,1,2,no,no,no,3,4,2,1,1,5
Paul,F202400524,course,1,1,yes,yes,no,3,5,5,2,5,4
Abigail,F202400525,course,2,3,no,yes,yes,3,2,3,2,2,1
Leo,F202400526,course,2,3,no,yes,yes,4,2,2,2,2,5
Gary,F202400527,reputation,1,2,yes,no,yes,5,4,5,1,3,5
Aria,F202400528,course,3,1,no,yes,no,3,2,2,1,2,5
