name,sid,id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
Roy,F202400396,283085722,GP,F,18,U,GT3,A,4,4,at_home,teacher
April,F202400397,546224232,GP,F,17,U,GT3,T,1,1,at_home,other
Lisa,F202400398,359691856,GP,F,15,U,LE3,T,1,1,at_home,other
Elliott,F202400399,605091295,GP,F,15,U,GT3,T,4,2,health,services
Hunter,F202400400,442032805,GP,F,16,U,GT3,T,3,3,other,other
Madison,F202400401,737519164,GP,M,16,U,LE3,T,4,3,services,other
Morgan,F202400402,447260829,GP,M,16,U,LE3,T,2,2,other,other
Maria,F202400403,349804758,GP,F,17,U,GT3,A,4,4,other,teacher
Dorothy,F202400404,376857224,GP,M,15,U,LE3,A,3,2,services,other
Catherine,F202400405,167754842,GP,M,15,U,GT3,T,3,4,other,other
Janice,F202400406,828384395,GP,F,15,U,GT3,T,4,4,teacher,health
Victor,F202400407,389565812,GP,F,15,U,GT3,T,2,1,services,other
Danielle,F202400408,761478286,GP,M,15,U,LE3,T,4,4,health,services
Christine,F202400409,726430209,GP,M,15,U,GT3,T,4,3,teacher,other
Earl,F202400410,812661623,GP,M,15,U,GT3,A,2,2,other,other
Stephen,F202400411,373664083,GP,F,16,U,GT3,T,4,4,health,other
Miranda,F202400412,338643197,GP,F,16,U,GT3,T,4,4,services,services
Grant,F202400413,541951032,GP,F,16,U,GT3,T,3,3,other,other
June,F202400414,247338036,GP,M,17,U,GT3,T,3,2,services,services
Gerald,F202400415,598196802,GP,M,16,U,LE3,T,4,3,health,other
Albert,F202400416,811079038,GP,M,15,U,GT3,T,4,3,teacher,other
Joe,F202400417,890156233,GP,M,15,U,GT3,T,4,4,health,health
Marcus,F202400418,763854754,GP,M,16,U,LE3,T,4,2,teacher,other
Regina,F202400419,882510862,GP,M,16,U,LE3,T,2,2,other,other
Elliott,F202400420,421465732,GP,F,15,R,GT3,T,2,4,services,health
Adrian,F202400421,909760805,GP,F,16,U,GT3,T,2,2,services,services
Julian,F202400422,715765738,GP,M,15,U,GT3,T,2,2,other,other
Harold,F202400423,785248943,GP,M,15,U,GT3,T,4,2,health,services
Steve,F202400424,427344733,GP,M,16,U,LE3,A,3,4,services,other
Albert,F202400425,425241533,GP,M,16,U,GT3,T,4,4,teacher,teacher
Paula,F202400426,594984998,GP,M,15,U,GT3,T,4,4,health,services
Benjamin,F202400427,262927681,GP,M,15,U,GT3,T,4,4,services,services
Natalie,F202400428,957527769,GP,M,15,R,GT3,T,4,3,teacher,at_home
Andrew,F202400429,272155122,GP,M,15,U,LE3,T,3,3,other,other
Steven,F202400430,908715082,GP,M,16,U,GT3,T,3,2,other,other
Keith,F202400431,613423719,GP,F,15,U,GT3,T,2,3,other,other
Leah,F202400432,450771001,GP,M,15,U,LE3,T,4,3,teacher,services
Nina,F202400433,669769514,GP,M,16,R,GT3,A,4,4,other,teacher
Megan,F202400434,997074186,GP,F,15,R,GT3,T,3,4,services,health
Blair,F202400435,954080492,GP,F,15,R,GT3,T,2,2,at_home,other
Janet,F202400436,554987364,GP,F,16,U,LE3,T,2,2,other,other
Wayne,F202400437,557296661,GP,M,15,U,LE3,T,4,4,teacher,other
Donald,F202400438,471347745,GP,M,15,U,GT3,T,4,4,services,teacher
Jack,F202400439,367347274,GP,M,15,U,GT3,T,2,2,services,services
Alice,F202400440,400458265,GP,F,16,U,LE3,T,2,2,other,at_home
Wendy,F202400441,212833431,GP,F,15,U,LE3,A,4,3,other,other
Warren,F202400442,837067049,GP,F,16,U,LE3,A,3,3,other,services
Joseph,F202400443,664673337,GP,M,16,U,GT3,T,4,3,health,services
Diane,F202400444,275500539,GP,M,15,U,GT3,T,4,2,teacher,other
Howard,F202400445,485210223,GP,F,15,U,GT3,T,4,4,services,teacher
Sylvia,F202400446,140262360,GP,F,16,U,LE3,T,2,2,services,services
Anthony,F202400447,216164628,GP,F,15,U,LE3,T,4,2,health,other
Jessica,F202400448,275787453,GP,M,15,U,LE3,A,4,2,health,health
Elizabeth,F202400449,633798085,GP,F,15,U,GT3,T,4,4,services,services
Jamie,F202400450,830458963,GP,F,15,U,LE3,A,3,3,other,other
Isabella,F202400451,585894541,GP,F,16,U,GT3,A,2,1,other,other
Alex,F202400452,404750308,GP,F,15,U,GT3,A,4,3,services,services
Charlotte,F202400453,723498049,GP,M,15,U,GT3,T,4,4,teacher,health
Francis,F202400454,326316526,GP,M,15,U,LE3,T,1,2,other,at_home
Christina,F202400455,395803871,GP,F,16,U,GT3,T,4,2,services,other
Brian,F202400456,668176691,GP,F,16,R,GT3,T,4,4,health,teacher
Drake,F202400457,596303401,GP,F,16,U,GT3,T,1,1,services,services
Autumn,F202400458,986689414,GP,F,16,U,LE3,T,1,2,other,services
Ethan,F202400459,735623119,GP,F,16,U,GT3,T,4,3,teacher,health
Janice,F202400460,448611901,GP,F,15,U,LE3,T,4,3,services,services
Emma,F202400461,149869491,GP,F,16,U,LE3,T,4,3,teacher,services
Carmen,F202400462,642001960,GP,M,15,U,GT3,A,4,4,other,services
Ronald,F202400463,167184370,GP,F,16,U,GT3,T,3,1,services,other
Darren,F202400464,683044509,GP,F,15,R,LE3,T,2,2,health,services
Frank,F202400465,662329504,GP,F,15,R,LE3,T,3,1,other,other
August,F202400466,819087585,GP,M,16,U,GT3,T,3,1,other,other
Madison,F202400467,521641555,GP,M,15,U,GT3,T,4,2,other,other
Adam,F202400468,876711467,GP,F,15,R,GT3,T,1,1,other,other
Valerie,F202400469,550495760,GP,M,16,U,GT3,T,3,1,other,other
Blair,F202400470,585794519,GP,F,16,U,GT3,T,3,3,other,services
Lynn,F202400471,812673400,GP,M,15,U,GT3,T,4,3,teacher,other
Darren,F202400472,680168996,GP,M,15,U,GT3,T,4,0,teacher,other
Justin,F202400473,697480441,GP,F,16,U,GT3,T,2,2,other,other
Melanie,F202400474,565183713,GP,M,17,U,GT3,T,2,1,other,other
Simon,F202400475,183565534,GP,F,16,U,GT3,T,3,4,at_home,other
Bailey,F202400476,964540349,GP,M,15,U,GT3,T,2,3,other,services
Tyler,F202400477,592251621,GP,M,15,U,GT3,T,2,3,other,other
River,F202400478,806393814,GP,F,15,U,LE3,T,3,2,services,other
Lucas,F202400479,532899357,GP,M,15,U,LE3,T,2,2,services,services
Veronica,F202400480,447173709,GP,F,15,U,GT3,T,1,1,other,other
Owen,F202400481,632015070,GP,F,15,U,GT3,T,4,4,services,services
Zoe,F202400482,681642612,GP,F,16,U,LE3,T,2,2,at_home,other
Elena,F202400483,333665691,GP,F,15,U,GT3,T,4,2,other,other
Jonathan,F202400484,996215055,GP,M,16,U,GT3,T,2,2,services,other
Allison,F202400485,324335472,GP,M,16,U,LE3,A,4,4,teacher,health
Carter,F202400486,911283303,GP,F,16,U,GT3,T,3,3,other,other
Corey,F202400487,829189247,GP,F,15,U,GT3,T,4,3,services,other
Margaret,F202400488,358754051,GP,F,16,U,LE3,T,3,1,other,other
Veronica,F202400489,935625011,GP,F,16,U,GT3,T,4,2,teacher,services
Adrian,F202400490,698787274,GP,M,15,U,LE3,T,2,2,services,health
Cora,F202400491,910820457,GP,F,15,R,GT3,T,1,1,at_home,other
Sara,F202400492,721841281,GP,M,16,R,GT3,T,4,3,services,other
Susan,F202400493,512928558,GP,F,16,U,GT3,T,2,1,other,other
Dale,F202400494,300005699,GP,F,16,U,GT3,T,4,4,other,other
Leslie,F202400495,334086239,GP,F,16,U,GT3,T,4,3,other,at_home
Daisy,F202400496,529526891,GP,M,16,U,GT3,T,4,4,services,services
David,F202400497,703476219,GP,M,16,U,GT3,T,4,4,services,teacher
Justin,F202400498,887631538,GP,M,15,U,GT3,T,4,4,services,other
Jackson,F202400499,961099470,GP,F,15,U,GT3,T,3,2,services,other
Olivia,F202400500,499670731,GP,M,15,U,GT3,A,3,4,services,other
Martha,F202400501,813433345,GP,F,15,U,GT3,A,3,3,other,health
Rose,F202400502,267931868,GP,F,15,U,GT3,T,2,2,other,other
Megan,F202400503,920737394,GP,M,16,U,GT3,T,3,3,services,other
Raymond,F202400504,981108984,GP,M,15,R,GT3,T,4,4,other,other
Felix,F202400505,860946895,GP,F,16,U,LE3,T,4,4,health,health
Maxwell,F202400506,662860239,GP,M,15,U,LE3,A,4,4,teacher,teacher
Cynthia,F202400507,133518426,GP,F,16,R,GT3,T,3,3,services,other
Jade,F202400508,555445411,GP,F,16,U,GT3,T,2,2,at_home,other
Jason,F202400509,249194654,GP,M,15,U,LE3,T,4,2,teacher,other
Felix,F202400510,484347393,GP,M,15,R,GT3,T,2,1,health,services
Amy,F202400511,614449263,GP,M,16,U,GT3,T,4,4,teacher,teacher
Jacob,F202400512,718019231,GP,M,15,U,GT3,T,4,4,other,teacher
Ethan,F202400513,446387364,GP,M,16,U,GT3,T,3,3,other,services
Thomas,F202400514,856953488,GP,M,17,R,GT3,T,1,3,other,other
Chase,F202400515,160332475,GP,M,15,U,GT3,T,3,4,other,other
Amber,F202400516,901063817,GP,F,15,U,GT3,T,1,2,at_home,services
Henry,F202400517,602416019,GP,M,15,U,GT3,T,2,2,services,services
Fletcher,F202400518,252165744,GP,F,16,U,LE3,T,2,4,other,health
Fletcher,F202400519,916233253,GP,M,16,U,GT3,T,4,4,health,other
Martin,F202400520,982580068,GP,F,16,U,GT3,T,2,2,other,other
Alicia,F202400521,206417988,GP,M,15,U,GT3,T,3,4,services,services
Margaret,F202400522,701249761,GP,F,15,U,LE3,A,3,4,other,other
Cynthia,F202400523,250658309,GP,F,19,U,GT3,T,0,1,at_home,other
Victor,F202400524,315896705,GP,M,18,R,GT3,T,2,2,services,other
Sylvia,F202400525,207931035,GP,M,16,R,GT3,T,4,4,teacher,teacher
Eric,F202400526,348509269,GP,F,15,R,GT3,T,3,4,services,teacher
