姓名,学号,证件号,学校,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
Leslie,F202400396,405864056,GP,F,18,U,GT3,A,4,4,at_home,teacher
Carl,F202400397,936427602,GP,F,17,U,GT3,T,1,1,at_home,other
Sophia,F202400398,491270604,GP,F,15,U,LE3,T,1,1,at_home,other
Raymond,F202400399,190120923,GP,F,15,U,GT3,T,4,2,health,services
Paige,F202400400,133827626,GP,F,16,U,GT3,T,3,3,other,other
Diane,F202400401,673239532,GP,M,16,U,LE3,T,4,3,services,other
Gerald,F202400402,977690109,GP,M,16,U,LE3,T,2,2,other,other
Owen,F202400403,679032441,GP,F,17,U,GT3,A,4,4,other,teacher
Adrian,F202400404,286203647,GP,M,15,U,LE3,A,3,2,services,other
William,F202400405,696808475,GP,M,15,U,GT3,T,3,4,other,other
Jerry,F202400406,134866606,GP,F,15,U,GT3,T,4,4,teacher,health
Carter,F202400407,391936801,GP,F,15,U,GT3,T,2,1,services,other
Isabella,F202400408,144939385,GP,M,15,U,LE3,T,4,4,health,services
Adelaide,F202400409,584865121,GP,M,15,U,GT3,T,4,3,teacher,other
Jackson,F202400410,137609041,GP,M,15,U,GT3,A,2,2,other,other
Caleb,F202400411,219777315,GP,F,16,U,GT3,T,4,4,health,other
Alyssa,F202400412,888706047,GP,F,16,U,GT3,T,4,4,services,services
Emmett,F202400413,602994666,GP,F,16,U,GT3,T,3,3,other,other
Bethany,F202400414,891556221,GP,M,17,U,GT3,T,3,2,services,services
Jacob,F202400415,510083315,GP,M,16,U,LE3,T,4,3,health,other
Maxwell,F202400416,288250607,GP,M,15,U,GT3,T,4,3,teacher,other
Janet,F202400417,806395777,GP,M,15,U,GT3,T,4,4,health,health
Adelaide,F202400418,827978707,GP,M,16,U,LE3,T,4,2,teacher,other
Corey,F202400419,651284497,GP,M,16,U,LE3,T,2,2,other,other
Warren,F202400420,682273926,GP,F,15,R,GT3,T,2,4,services,health
Bryan,F202400421,193878125,GP,F,16,U,GT3,T,2,2,services,services
Joshua,F202400422,186707507,GP,M,15,U,GT3,T,2,2,other,other
Harold,F202400423,158832843,GP,M,15,U,GT3,T,4,2,health,services
Brian,F202400424,670922863,GP,M,16,U,LE3,A,3,4,services,other
Jennifer,F202400425,110111057,GP,M,16,U,GT3,T,4,4,teacher,teacher
Robin,F202400426,149253130,GP,M,15,U,GT3,T,4,4,health,services
Ellen,F202400427,995340361,GP,M,15,U,GT3,T,4,4,services,services
Steven,F202400428,713145520,GP,M,15,R,GT3,T,4,3,teacher,at_home
Wendy,F202400429,531119609,GP,M,15,U,LE3,T,3,3,other,other
Eden,F202400430,593351221,GP,M,16,U,GT3,T,3,2,other,other
Malcolm,F202400431,681588066,GP,F,15,U,GT3,T,2,3,other,other
Harry,F202400432,864556076,GP,M,15,U,LE3,T,4,3,teacher,services
Drake,F202400433,245885044,GP,M,16,R,GT3,A,4,4,other,teacher
Thomas,F202400434,586086644,GP,F,15,R,GT3,T,3,4,services,health
Connie,F202400435,810040557,GP,F,15,R,GT3,T,2,2,at_home,other
Brooke,F202400436,371913203,GP,F,16,U,LE3,T,2,2,other,other
Christina,F202400437,976728335,GP,M,15,U,LE3,T,4,4,teacher,other
Vincent,F202400438,812763072,GP,M,15,U,GT3,T,4,4,services,teacher
Emmett,F202400439,571636951,GP,M,15,U,GT3,T,2,2,services,services
Irene,F202400440,922676989,GP,F,16,U,LE3,T,2,2,other,at_home
Julian,F202400441,410873133,GP,F,15,U,LE3,A,4,3,other,other
Kim,F202400442,897924649,GP,F,16,U,LE3,A,3,3,other,services
Knox,F202400443,149436124,GP,M,16,U,GT3,T,4,3,health,services
Monica,F202400444,494825420,GP,M,15,U,GT3,T,4,2,teacher,other
Michelle,F202400445,670818786,GP,F,15,U,GT3,T,4,4,services,teacher
Isaac,F202400446,458738985,GP,F,16,U,LE3,T,2,2,services,services
Ruth,F202400447,612421453,GP,F,15,U,LE3,T,4,2,health,other
Karen,F202400448,926867515,GP,M,15,U,LE3,A,4,2,health,health
Lynn,F202400449,590386546,GP,F,15,U,GT3,T,4,4,services,services
Ronald,F202400450,896835358,GP,F,15,U,LE3,A,3,3,other,other
Roy,F202400451,672966921,GP,F,16,U,GT3,A,2,1,other,other
Veronica,F202400452,396378718,GP,F,15,U,GT3,A,4,3,services,services
Paula,F202400453,605510825,GP,M,15,U,GT3,T,4,4,teacher,health
Janice,F202400454,808710362,GP,M,15,U,LE3,T,1,2,other,at_home
Autumn,F202400455,999950672,GP,F,16,U,GT3,T,4,2,services,other
