姓名,学号,证件号,学校,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
6glrNWfFYqbTX29JfKlk0TPMeLXbxiDm3Pfp4/mSyTE=,4Ppkx9eqFv5nmHoq+bZ/npC5qn1z2vKjJC2RYl2ejck=,tee+We8YsBEU/1LIJYsaQTiA/4sWGD88FF7ol5ncxMk=,GP,F,18,U,GT3,A,4,4,at_home,teacher
ZS8Np5i6UISy9+UnWBwpmy0Hmveijan+CkzniQPAWiY=,mHRrQF8FzYLDiyeyR0/oQ+GxtxW8lYsHHfnVriMYQfQ=,dn9vCfxRL4kkR+2kO/y7PQvn4x/FbXmpdM+edYBBAr0=,GP,F,17,U,GT3,T,1,1,at_home,other
emfKXbdYD9CL3/dqcgxhxsFrnFKNEjynzysHWthuB2g=,c0Mz1mZZ9ejrGdJUN8m7uLRDeDVILkP21gJaFaVinrA=,e+0XzgJp0SSL0gTbB2T7QgHJxuxoH2yMBYpF/oNtW+Q=,GP,F,15,U,LE3,T,1,1,at_home,other
IBY7Q9hMBL8bN8QCPRP/LJCkBDLwnvsVy/kI6kKiORI=,Ct0ymwGojg6jkJpkqXd6NV8hgJkWEldynbnErxBBiDo=,sQCsCcg/754Xlhc58Gp7nxZOYO31F/HCq4S85ELDqdk=,GP,F,15,U,GT3,T,4,2,health,services
D0qWAR07sHjK5aV3D0u26fBB3MewFLzYTxHKXmtMAsM=,CuI2DQ76xJsXlBmIeSJ9RmfyLdUW1OxLt8GdLVmCvCo=,0xAH+DGtDAuh3C22hAilE6q/CYG/LNEOYvY2lq4UdnE=,GP,F,16,U,GT3,T,3,3,other,other
6S5v7NQ5pY0qAedYr7gbfdxKk3golDr/jrlOr4iPkow=,wwCSjkQVlOPZ6dQnYWaXZS80WiyvDgaliFxyhNKHgJ4=,wMsEvpKVBRF9iZ3kQHQprzVOpa8BYzZdXVmCHNmk7xA=,GP,M,16,U,LE3,T,4,3,services,other
t6qG3A/eZLIwqsP2d7qDmo8Wcn958R3Jx/XiYk9OtPs=,p0lUvw8cCJBNs570J57fWiRrnLtQvUsLh1v6V8qsIyA=,5vNijomOJCyh9V5aC7gFHdSMvTutHUO511bbrNgB+uA=,GP,M,16,U,LE3,T,2,2,other,other
yloengZyB9Fd3ddwHUWS5+MMpzJ1HAr0ts7eyV1wp9g=,B3J4MvJRIIKgz+wAyAUYeO4y+6oFuQ/s0dqjJdcDUgk=,142EWUoUE2sa1OqhFHybFyL25/UWyp5uGLygJOIGwro=,GP,F,17,U,GT3,A,4,4,other,teacher
q+3LahXn+V+mn9feoMydIH/3itslf371LtbkoKo6Fq0=,FWqIWaNVIOL1ZZRcLE+jE5aQ8RCI2twQiS0j/N8jQ/8=,y3eQ0OwOpWpUtbCtFwJtqN9LgCtZH1FIY0y71h+npCs=,GP,M,15,U,LE3,A,3,2,services,other
Oy5NSzHoqTy7rWqhzorBLG+qXc5EK3427TuHaO0AecE=,a+S2w3rjDSzBVqadPlYDIM6SDsQ5L2JqX1QEkc9pt04=,RO6p6Eh9kARzkioZkKMue41661nnCJ7jzMr+Xtr+zm0=,GP,M,15,U,GT3,T,3,4,other,other
CpQ+IhvKVZQxffeVKI7eQ/JdrUVmyGvfInodk2tAvts=,ckEfoQoaE2pSi3nUjohiiu9q6icZmrQiULEFUlTKors=,83PfPUMb31FddrWRTy5fYsUcuV51VR0C2WG+5ZVSJJ8=,GP,F,15,U,GT3,T,4,4,teacher,health
LFLDkm8HuV+w7uIi4nsuNYHp9HKw6FoXPlbrPyF2srI=,eN68PG1HsCilZzZj45FIDMK7Rp7HrHkjNL+uq+lUC/g=,m6M/SoIG2zHXa4vF+Dfdy6WOxNER0phCt801ZlUOTnw=,GP,F,15,U,GT3,T,2,1,services,other
bxQhkR1zvaHGFcN+7plNU+iEWVCm0WEqf698Nfx/WaM=,YEXYLc+BTF6d5GuesELxzKkLaPQuMleZa0IAGXTZx70=,PUEmZBywScAexV/uOweMs2qcnxD5Fwe3goypITCwTzk=,GP,M,15,U,LE3,T,4,4,health,services
UCOYo5lSmruA1PJsOCR0H4hx1HJx07mX4ICNsq+KaYA=,5DkySec80qCvleg36qK0x8RJCcCnRI9+n2ZO2hOetwg=,AfkI43D2W/4ExFfRrLk/F6ghJFmHrNTB2TN2UYnJ/Ag=,GP,M,15,U,GT3,T,4,3,teacher,other
gygrSrfaSFE5CBTdd/3vA82e1xdZSF8g8rTxM2ksB0g=,thsvcB4YfUvloGoW+FLc9GgbtkccoEzyxSz893XxRNQ=,X3i9TyULjc0sWv79LmVIrK9lmoyNkfOL9gggSZbZqZ4=,GP,M,15,U,GT3,A,2,2,other,other
EWxDvv/SeIMZuzI3uLLLqRDTagOBNCm4K0fOgeNSZek=,EjswypWxDswEKqFj1YtgORnaVYTaXUzMQz3aO9POL8U=,Eu8yldbAWxjPcpBc93pVQIrumav3vcp8ue+H4AvmeQc=,GP,F,16,U,GT3,T,4,4,health,other
kGnSBGFQk3acjc5IS49hYrUCqCJx9bnFa+XNrqSk+Ek=,oMEMKvIg8uzi9tIJd+4eRApwRqeBBDECZLR+dPw01Bs=,sQiRwzgHB8ibP4FetjyE8DflOrU17Zc6xkkMA8FcJDM=,GP,F,16,U,GT3,T,4,4,services,services
9BQOCQcdkVudYlpJjyFZpTTeONlEiX+WWjH+VrZAUho=,OuHkRRo+ukceJsnYvu9biNXJWjHvTUWzhiVV9yKA0X4=,rOf08im+RUuBE6Q9SkjX4AGxLsHrAkQzMUGEKgefsvI=,GP,F,16,U,GT3,T,3,3,other,other
sSjnQsQM9gCAOgGeDIMm0Fv9agFwg/xX2E/0TiZ4ggc=,V01kxGZw33pnBr8vQ2C0EXUTUAdh/FJhI4+7T9phXnw=,V6WQkw0OXhDw2FdwgD502Wfrh317qZiXoVhf87SQYBE=,GP,M,17,U,GT3,T,3,2,services,services
wmadg9xyBs2nJCgEk+ASVyo4Rl/UUeg7tPGW2VaK7nM=,ChM61BrtZKWxbzQD+GGsA/bUHr2vBSlgQxO7xy4J0Co=,l8sdLptNg0fFYSsbN1JRlj2JsgoqARXy6lzf1aAH+vc=,GP,M,16,U,LE3,T,4,3,health,other
JpuYk5O2rQJDISERFsisFgk5Awc/e9ky2rmqopFTj68=,iyow7waW5zHJ2vjnaoJYCCBa4dGQ9jPIDzEM87RKFFk=,SLQpZEUjUk2axE3fSCkSulg/IOn7t7GeEKqc9GNZUOk=,GP,M,15,U,GT3,T,4,3,teacher,other
eLk5toFwFnKXIDJmn9c0DPJIeTGG7e4EKjh5xSGT4Ms=,nffDvD6b5qdJZ7oec4ST9GsINfyJv6B9v25rI3AcIrg=,K3Smiy3PXN8HOm9DCKBhoAYJVNohxW3OABwLNfth6j4=,GP,M,15,U,GT3,T,4,4,health,health
lXJX+yZPL3zTUYou4yxTsIXd8LkbbmF/MZUQPGQhOsE=,hOd3EJYKSnOIWTQoWU6L+fkOVdPWL/zcxbFYdFO1eN4=,Pd48IQTPhu9xMaQ/N3k1SZBmFGCH3nbWmH7PvBoKK+0=,GP,M,16,U,LE3,T,4,2,teacher,other
JET2hVA7gjqMUfVeYzmZGayMATssIwlEEKDDjD3RHM8=,WVvj7QjmrY+duTofF+4vuNgBLiFwVcx06FEbSg5DHSg=,UAPb7TWvsHpma1hrbTlyvtiZjwvKG8gFziSGYEudt2w=,GP,M,16,U,LE3,T,2,2,other,other
ZevbwKjRreoBUHXH4eTrQqWB4cyCRdns4KRLtqBaobM=,EGJBmV+M0WZb0A+MGMTjpcUSlFh+/cLP8vyEZHhSLag=,aBZS3MX2vjuKH5gkhBgwHPSD9qMGEBZ9bvlG3qmqJRE=,GP,F,15,R,GT3,T,2,4,services,health
