姓名,学号,证件号,学校,专业,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
周建华,2022000000,591357200409137191,RUC,应用数学,F,20,U,GT3,T,3,4,accountant,at_home
彭勇,2022000001,389159200308058130,RUC,应用数学,F,21,R,GT3,T,4,4,teacher,manager
董建平,2022000002,413067200205248301,RUC,人工智能,F,22,R,LE3,A,1,1,lawyer,engineer
曾语涵,2022000003,529861200210112638,RUC,大数据治理,M,22,R,GT3,T,0,1,businessman,doctor
胡国强,2022000004,254615200206207888,RUC,大数据治理,F,22,U,GT3,A,1,1,manager,worker
彭欣然,2022000005,342022200202200722,RUC,应用数学,F,22,R,LE3,A,0,1,accountant,lawyer
谢梦婷,2022000006,201790200311173436,RUC,应用数学,F,21,R,GT3,T,2,2,businessman,at_home
陈秀兰,2022000007,591248200412266607,RUC,人工智能,M,20,R,GT3,T,0,0,civil_servant,doctor
于梦婷,2022000008,207581200205284576,RUC,人工智能,F,22,U,GT3,A,2,1,at_home,accountant
王霞,2022000009,407797200407223265,RUC,计算机科学与技术,M,20,R,GT3,T,4,3,teacher,worker
宋梦茜,2022000010,430888200412081642,RUC,大数据治理,M,20,R,GT3,T,3,4,civil_servant,self_employed
高建军,2022000011,397968200406070196,RUC,应用数学,F,20,R,GT3,T,1,4,civil_servant,businessman
冯敏,2022000012,533423200312264693,RUC,应用数学,M,21,R,GT3,T,3,1,civil_servant,at_home
陈洋,2022000013,586642200405194862,RUC,计算机科学与技术,F,20,U,GT3,T,2,2,businessman,civil_servant
陈欣宜,2022000014,248165200301271600,RUC,应用数学,M,21,U,GT3,A,4,3,self_employed,doctor
许欣欣,2022000015,507677200211233396,RUC,人工智能,F,22,R,GT3,A,4,4,at_home,lawyer
吴欣怡,2022000016,590622200404144223,RUC,大数据治理,F,20,R,LE3,T,3,2,self_employed,businessman
卢志国,2022000017,282397200512254989,RUC,大数据治理,M,19,R,GT3,A,4,4,worker,accountant
李文,2022000018,258769200207084777,RUC,大数据治理,M,22,R,GT3,A,2,1,self_employed,civil_servant
傅语涵,2022000019,125593200409119994,RUC,人工智能,F,20,R,LE3,T,2,4,at_home,engineer
叶子轩,2022000020,144894200402051607,RUC,人工智能,F,20,U,GT3,A,3,1,doctor,at_home
吴国华,2022000021,272588200301104411,RUC,大数据治理,M,21,U,LE3,T,0,1,at_home,at_home
黄洋,2022000022,254320200308043697,RUC,人工智能,F,21,U,GT3,A,3,1,self_employed,engineer
冯欣慧,2022000023,267891200202247711,RUC,应用数学,F,22,U,GT3,A,3,2,worker,at_home
郑梦茜,2022000024,241177200305130270,RUC,人工智能,F,21,R,LE3,T,0,2,worker,accountant
孙欣慧,2022000025,341377200409140125,RUC,应用数学,F,20,R,LE3,T,4,1,doctor,businessman
贾明,2022000026,455729200212275846,RUC,人工智能,F,22,U,GT3,T,1,1,accountant,self_employed
蔡强,2022000027,571164200305023734,RUC,人工智能,M,21,U,GT3,T,1,3,worker,accountant
唐子豪,2022000028,308992200210130415,RUC,计算机科学与技术,M,22,U,GT3,T,4,1,teacher,accountant
林磊,2022000029,134515200310126660,RUC,应用数学,M,21,U,LE3,T,3,2,civil_servant,doctor
许梦琪,2022000030,240994200309092168,RUC,计算机科学与技术,M,21,U,LE3,A,3,2,at_home,businessman
许文,2022000031,414356200305102385,RUC,应用数学,F,21,U,LE3,T,2,2,accountant,doctor
唐强,2022000032,391451200407281316,RUC,计算机科学与技术,F,20,R,GT3,T,3,1,civil_servant,lawyer
吕艳,2022000033,228243200501028827,RUC,大数据治理,M,19,U,LE3,A,1,2,doctor,businessman
邓欣然,2022000034,556501200206115214,RUC,人工智能,F,22,R,GT3,A,4,3,self_employed,self_employed
萧洋,2022000035,406016200205272077,RUC,应用数学,M,22,R,LE3,T,2,4,worker,worker
吕雨晴,2022000036,584235200305252911,RUC,应用数学,F,21,U,GT3,T,4,4,at_home,teacher
