姓名,学号,证件号,学校,专业,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
a+ULFqAyt1B347NDD8+nit6HsJz3EtOQ+mMSTNyL+Ps=,/2rZbqU5OPkk1Fw7lcQvsVj5pTBEXY3NgGM7/naQITw=,RfELnJg0yxjO0taoz9Ry/vV/vk5mQZj4xsp3w2TayuVVTQzR1RodhHbjaCwTmrdH,RUC,应用数学,F,20,U,GT3,T,3,4,accountant,at_home
cDdX0FNeJd9VkNr+FS8owFvTQycSZnhQVAKpfESi7UQ=,SllSCtUpqqu/akQDF31GfI+eqiqJMzkLxTnZhmbBbpg=,JzKEic3R0WF3yVlM6kR27yf6YlTsiY98PgqWRRvk3cBgYEioz5farjWTohSNVFOe,RUC,应用数学,F,21,R,GT3,T,4,4,teacher,manager
yGQIOKYtm3szdGrNzMdIj8JPtgJ4SbyqDlwAe+9jG0k=,4+k0Li1vDNEnZZMhezoNZ+YkhO3agvi3rv4B0DWzPMs=,uGg9YL31zuVWHFWZEVo45joP1mkn9FD2K4jXoo+XP47SuHk2uqX+2qtT2ttm0zbu,RUC,人工智能,F,22,R,LE3,A,1,1,lawyer,engineer
NQBLBddzx00Gmv3quN3Bl7t5/zOMBqdOCk4/bZUEn1s=,ubKP2rCgKL2bMPWxKqezf0eimDndJGyO7v0JW4SRlkI=,/SLhLl8t39BZeHCAYvcqdBg3phUzB9QAOIvYVoKztjvd6pY2+oiVtK2rMrNvhon2,RUC,大数据治理,M,22,R,GT3,T,0,1,businessman,doctor
K1HI7mWY18i2APRt42F38axyckCmOPK1Nzx9pfdCTss=,4ZVQgn2ZfJVC6gz46URG4M8o/3vKzVL7kFFkLhbzQHI=,WIlEf7E4dZpkjpgpBHX7BdqWFVg1140gCJoVclP1rmnEbDfPzTmPvcet/TKMFEiI,RUC,大数据治理,F,22,U,GT3,A,1,1,manager,worker
4yU7BFf8Plp3M5O3qwjydqexeu/eS5ogBAZC0UOIdDI=,Pz60ZyNKoISXev15eC4n3L9uupfRTDrlFrkV9FJxFpk=,HUiRgbgUe9okar2jJM9T5XIRaMcUEyFKOJV6jpb60E4IUq9sst/qluStY1if4Ji0,RUC,应用数学,F,22,R,LE3,A,0,1,accountant,lawyer
fzodWf7v5jIvLxma+0OasoRdkPoKOPF8PM/0Ju3Cwcw=,SrPjGLoqXsw3dXyPlAJTi25bfC65sIOF46Yt9kLi+OE=,fsUsZsy9e0pHtksAT8mJi3/cTgjmRfyZOnH0VYGNT5C1ux7OWajSZtAX1t5s6vAT,RUC,应用数学,F,21,R,GT3,T,2,2,businessman,at_home
/oDiiI+BV5bej8AlYR2f8M2wvJOR5FaC/0Kqvoc9OZc=,pRubIpLEt1Zs3574qpTjq7J1BWFnFPM7kPueH2n4laQ=,Mxwd5Ovybu+tVfCkKwc+VS8SCFOPGHqldvY97atNeCdnvb8zes3ngIby7LZMdEIy,RUC,人工智能,M,20,R,GT3,T,0,0,civil_servant,doctor
S8vTja7QP7qiedn7O1zkkY2e3akqt9BHL9/i+dO6Rss=,Q+4BISSgqBryLvJhAH9g0/DjYpClh5LvmF7Kmf4c0hA=,yWulsyraxz4PIeXWxF7yE9ozWkRhvZNDqF1egdIJYaGmPs6rDb3Px7Ch9D6bvMTn,RUC,人工智能,F,22,U,GT3,A,2,1,at_home,accountant
S9474UGHLaUP6Mdy8CPNywroEtneQD2HMS+xexTM8iI=,xVKrYyliXbPuazN4RwWRqb4zMpUJjlhi7ee7wlc9k6A=,90va2X2pv402dIKRzRtCkmS3+/d6iR4tet75Q0Xcq5vq+/I44llBjSiHMW7N3y/o,RUC,计算机科学与技术,M,20,R,GT3,T,4,3,teacher,worker
nOcHer5SXeoW10ngVW2vnfI99UeSw0Y1tmv5s/Bhlgs=,Yxwcgfwz8u/KcqzkgBDtKg3JsBClgXOqWANTJg7yurQ=,c2CBvNYZB9eM+l0lCGvDBIHmVf8sP811znZncH26lTt1j0q5dwXLhPyC10T1xn85,RUC,大数据治理,M,20,R,GT3,T,3,4,civil_servant,self_employed
0qey3ZZZiBFm3WOkNpGNYucH5HET3gMM7JLn3JZPMYI=,9pdbgmo0qAOw9TSxDjYOZf+Z/Rpoa0KiZj6/QM84B3E=,XHhu9orHwv6jtPMYl7IlbYe38lSSY4OLVDCgBgPI/4UesgDwtmjSiRX9zeR661ub,RUC,应用数学,F,20,R,GT3,T,1,4,civil_servant,businessman
bvtmOndMow/fbyJ2n5eLJYuTtPiB3ZwIiHhNannGrfg=,AVknu7LknE6TTWPAZVAh0xpmNA7nlg3Z+2F9wr0l+W4=,PRhTMY+TFbmPG0IUGzFNKEaIWY9Gp2B1S5KUs8MIAgyl6gNrAzB67AzKCSramkEv,RUC,应用数学,M,21,R,GT3,T,3,1,civil_servant,at_home
TU8t/2yQfBtrV/LewE78hrLe3PyzShxI7UYieUTuHd4=,sR+dnN9ViQdpVYczayJXWqSR2i/wDkRLB53NZSPFpwg=,T+Y3uOchAjIEHhDDd9N8HN5L4cNtHBxYXtwVEviTktERS625D1nnsa2EZhAm7orB,RUC,计算机科学与技术,F,20,U,GT3,T,2,2,businessman,civil_servant
CjFuv3fwh6UXhRVi08o+XnreDexSASdNqfVP+OgwkrY=,j0cVc4HQ2168nr0FFrDRnNlwX32j3kwkIiZUxlYbAXM=,juygQEL/yC+WjjYOADSsdF6GgkQwUuZyq0l/4PEyXMlTGCbMmttXOzhb5OiAZcxQ,RUC,应用数学,M,21,U,GT3,A,4,3,self_employed,doctor
rF65hOZgk7rWnyYWZ/P2f56AZDgY4jC1Fyk8/3lSuk8=,X2SJTbfeXGOrQC/fJoqlMvstUQEQRhk52XA/twf7ZgI=,Gz0H0wp16nKZ0og5lUIg1OQ+mKPky9uWuYAwIV3fOmdIZ4jeq79iWipu5d4guX+q,RUC,人工智能,F,22,R,GT3,A,4,4,at_home,lawyer
mOoGt826xBqQc7VGuhmno/sE3KL5A3OmA2QjFQIEcHQ=,T4uDoSREYQUKC1lpCht1dpmJ37W7Fhu2f1CE6nMXs+0=,d3eTcSXNmYTGnRAK5NseqVY48hAlO1JjTgd6UokskYYtXgDLhUCN6oZ5QnvGIHPB,RUC,大数据治理,F,20,R,LE3,T,3,2,self_employed,businessman
