name,sid,reason,traveltime,studytime,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health
Roy,F202400396,course,2,2,no,yes,no,4,3,4,1,1,3
April,F202400397,course,1,2,no,yes,no,5,3,3,1,1,3
Lisa,F202400398,other,1,2,no,yes,no,4,3,2,2,3,3
Elliott,F202400399,home,1,3,yes,yes,yes,3,2,2,1,1,5
Hunter,F202400400,home,1,2,no,yes,no,4,3,2,1,2,5
Madison,F202400401,reputation,1,2,yes,yes,no,5,4,2,1,2,5
Morgan,F202400402,home,1,2,no,yes,no,4,4,4,1,1,3
Maria,F202400403,home,2,2,no,yes,no,4,1,4,1,1,1
Dorothy,F202400404,home,1,2,no,yes,no,4,2,2,1,1,1
Catherine,F202400405,home,1,2,yes,yes,no,5,5,1,1,1,5
Janice,F202400406,reputation,1,2,no,yes,no,3,3,3,1,2,2
Victor,F202400407,reputation,3,3,yes,yes,no,5,2,2,1,1,4
Danielle,F202400408,course,1,1,yes,yes,no,4,3,3,1,3,5
Christine,F202400409,course,2,2,no,yes,no,5,4,3,1,2,3
Earl,F202400410,home,1,3,no,yes,yes,4,5,2,1,1,3
Stephen,F202400411,home,1,1,no,yes,no,4,4,4,1,2,2
Miranda,F202400412,reputation,1,3,yes,yes,no,3,2,3,1,2,2
Grant,F202400413,reputation,3,2,yes,yes,no,5,3,2,1,1,4
June,F202400414,course,1,1,yes,yes,no,5,5,5,2,4,5
Gerald,F202400415,home,1,1,yes,yes,no,3,1,3,1,3,5
Albert,F202400416,reputation,1,2,no,yes,no,4,4,1,1,1,1
Joe,F202400417,other,1,1,no,yes,no,5,4,2,1,1,5
Marcus,F202400418,course,1,2,yes,yes,no,4,5,1,1,3,5
Regina,F202400419,reputation,2,2,yes,yes,no,5,4,4,2,4,5
Elliott,F202400420,course,1,3,yes,yes,no,4,3,2,1,1,5
Adrian,F202400421,home,1,1,no,yes,no,1,2,2,1,3,5
Julian,F202400422,home,1,1,no,yes,no,4,2,2,1,2,5
Harold,F202400423,other,1,1,no,yes,no,2,2,4,2,4,1
Steve,F202400424,home,1,2,yes,yes,no,5,3,3,1,1,5
Albert,F202400425,home,1,2,yes,yes,yes,4,4,5,5,5,5
Paula,F202400426,home,1,2,no,yes,no,5,4,2,3,4,5
Benjamin,F202400427,reputation,2,2,yes,yes,no,4,3,1,1,1,5
Natalie,F202400428,course,1,2,yes,yes,yes,4,5,2,1,1,5
Andrew,F202400429,course,1,2,yes,yes,no,5,3,2,1,1,2
Steven,F202400430,home,1,1,no,yes,no,5,4,3,1,1,5
Keith,F202400431,other,2,1,yes,yes,no,3,5,1,1,1,5
Leah,F202400432,home,1,3,yes,yes,no,5,4,3,1,1,4
Nina,F202400433,reputation,2,3,yes,yes,yes,2,4,3,1,1,5
Megan,F202400434,course,1,3,yes,yes,no,4,3,2,1,1,5
Blair,F202400435,reputation,1,1,yes,yes,no,4,3,1,1,1,2
Janet,F202400436,home,2,2,yes,yes,yes,3,3,3,1,2,3
Wayne,F202400437,home,1,1,no,yes,yes,5,4,3,2,4,5
Donald,F202400438,course,1,2,yes,yes,no,4,3,3,1,1,5
Jack,F202400439,course,1,1,no,yes,no,5,4,1,1,1,1
Alice,F202400440,course,2,2,yes,yes,no,4,3,3,2,2,5
Wendy,F202400441,course,1,2,yes,yes,yes,5,2,2,1,1,5
