姓名,学号,原因,往返时间,一周学习天数,课外活动,深造,有恋爱关系,家庭融洽程度,一周空闲时间,一周外出时间,工作日酒精摄入,周末酒精摄入,健康程度
1873gHnayWfW/Z+swWA1brEENSnJO3mqzSPfQglYVYE=,8mYU30VfgpbkAcjQsxdF4Owy3uh/B/5wqTU9IkfoidE=,course,2,2,no,yes,no,4,3,4,1,1,3
+vmQlXYTEsmlF4BP7agd1BK9ChQL4f8P8SUh5FEB934=,5Dl74+k4fAGlUlUXlZXgb4kQ1/lcv/lFQSbYUtPfQIM=,course,1,2,no,yes,no,5,3,3,1,1,3
7ADQ5flzhNQQXNhNngIM8iDya5JDpVjWElBNf+KnqD8=,SIHjMNZe7NPYv1eF33QLu0G9+8nmR1J3GoF5k9BTEF8=,other,1,2,no,yes,no,4,3,2,2,3,3
UW7/FtGFJ6wcWeOUPUS9ye1R/0VT92UfRzh3hibhNoY=,6nRFzrGErojFTc2i6t3Gpoq5Ssm6xXUkHJHHh/q+CZw=,home,1,3,yes,yes,yes,3,2,2,1,1,5
+Dyh8oCHGdTP6gWADgkQpXMNd9AZbWxNnAwWqZYuGjQ=,cFuxdLoRPlGDub5dPvzVnumh5uqneDm+35MJ8OwuueY=,home,1,2,no,yes,no,4,3,2,1,2,5
/Newls7sr9CXzEOSf+TZQU5Rwva/LzSf4lleE04NBU8=,b9bXAsnEz/3LmFM+U2RiQ2WfjAMlCgDojHumnKPVkEc=,reputation,1,2,yes,yes,no,5,4,2,1,2,5
UPz/5HOhuXQCe3gRHR9cxpQokhS+Y9ZtPVmiiKmpt8s=,peDHbTMKV0agvpHemyv/x3/wLsO/ijs18a9FMLm5Tjs=,home,1,2,no,yes,no,4,4,4,1,1,3
OJ65/FoAO9hJJbEKXKADsmfx3r8eqXhRPvDBif8YfDk=,kn+bg6SVdMRgnHl8kfFpmNo0uGmgiuChVutnrdM9hmo=,home,2,2,no,yes,no,4,1,4,1,1,1
cNWHlW70RPcoMSMJhM9xB9xpds1U0cTbKKFsuRk144w=,4LTcvy0CzXrovtoc4sD3sOfPMgW1oA6c43e67HbOX9E=,home,1,2,no,yes,no,4,2,2,1,1,1
GfEWD3/dOS1183YTaW6OrKB9ou5EaIIfQFuUOcbhIlc=,qRTvfUhcIJvMzoAzpeaf2e2Ta+xFrSWSOhJFChNhXsM=,home,1,2,yes,yes,no,5,5,1,1,1,5
RZxsig6KL2uuuzC1WCQjpP0+YO9yTz5eX3SACBvwSy4=,GX/7jy6WEkYPf+fxyd0KNH3jzaFyp9RRPbrzMFChiMg=,reputation,1,2,no,yes,no,3,3,3,1,2,2
9hZt+enZU88EE//qlcg1cQqpqFhlkOJRXTBAnEHq0rU=,YosmeDLWk9+y4d6a7YKufaqM+/UlcOUfSBKb5ZVx/qk=,reputation,3,3,yes,yes,no,5,2,2,1,1,4
vNhK0BaqNrQU8vsOILe1zXmIsS6MNatB1I8Yxpr5Bq0=,sUumyGOxDoh6KoJLV9RJFDqjI1e0yqddWQNIzRBndBw=,course,1,1,yes,yes,no,4,3,3,1,3,5
C4teMUTdctmmOBhQHoOpy4Zfe1ROEFa19PTawPKOX24=,7SnOgQQPSeJKypw1YGnMc7yndvOoVy5FVRbVTmQCft8=,course,2,2,no,yes,no,5,4,3,1,2,3
C06Rc/6ZCMOEzLakp9wGo6x0lEP2RFu5S5Uc4CxONgw=,fiLOmnphJXZtJOVT33cNZQAQzMO0/NZzWTd6ElFreWo=,home,1,3,no,yes,yes,4,5,2,1,1,3
BRqgRG7rOzdMMdfX+4CGxFpojb6grUInfnj3Fs9hGVU=,AWtZe91A51f+4dVSS5/74BiHnczpvXB4KdAgu6+suZs=,home,1,1,no,yes,no,4,4,4,1,2,2
3IhNMoRhVH2lt3dpmyk6QBHwSRwc81HUc4bXcL3mbNg=,PyWyJ6Z5UhWL6vSpKCGJat3tpQEvw1k7QUBp4OPCxFY=,reputation,1,3,yes,yes,no,3,2,3,1,2,2
IEyCw+R9yFIP+aZFx2mw3WKbylAylGSv3UlOlfuxxk0=,ctqWDpS14m6z4ZwAdRaO0RD/3b//AVX/4C3MQ7F/RKw=,reputation,3,2,yes,yes,no,5,3,2,1,1,4
Zrus9CH9MUYJL2OlUqXGdjWfN+/DulHRqrgoEWGiC8A=,0ZqXk881JCMaMvP+WFZQ/jD/v4QmN3iCNBKQUW8yAI8=,course,1,1,yes,yes,no,5,5,5,2,4,5
hM40wQc6VLG3LTe0Og0rUBPIyFbVYeHbya/DNC7E6J4=,4yBa6qOyq9w8Yu2nzn0UKDXAYspnG1FmJHeJ0c09NhI=,home,1,1,yes,yes,no,3,1,3,1,3,5
5I2XWLQkWxIcbVIOxACDm7yidElyKnCLHN2WuVmBNU4=,r99ILC0h/u+6nS8qu+ZjiSR7Iocx44EJVfwYA7JcTBE=,reputation,1,2,no,yes,no,4,4,1,1,1,1
YrQLOnE4mxWfxBP7QuHd2d/OynxTx+RNeG3eyjZUTqI=,Vwy06WL0Bya3fSmXvUWDCrhY6WihOQxrroSrpl2QQyo=,other,1,1,no,yes,no,5,4,2,1,1,5
u7DjQRJOGdWHm8jxx7FhRFqEYM7A/ulO7ZfYWHu0j+w=,fdT75zgD6MDHocrvaqp2Brw9q8g2GkEP5kXa7z/9k8s=,course,1,2,yes,yes,no,4,5,1,1,3,5
RZTCb40Z9Xcl1AgaUBOL/1e1WtzQ6E7+2B7q+prS8f8=,UtSEwvyctei50q1+65JJMarmUeeuT4s8+6X0zdkvIWs=,reputation,2,2,yes,yes,no,5,4,4,2,4,5
7dKl8FHIx9d9SUBlC95CMWCCqkcaRvqFj0N1fP0dHCc=,XkPXYAwWB/4f1sZGF1T+WGoeDzBeiSXeTu6UUQJBaik=,course,1,3,yes,yes,no,4,3,2,1,1,5
WFel5KQgGm3vbPu+p3HxZmsjEjkfWYIjAVIH96tzW+E=,Eptmur/BYCRIpo6FEAiUeUiaP0PtPhkX2/3JxDLp7Eo=,home,1,1,no,yes,no,1,2,2,1,3,5
