姓名,学号,原因,往返时间,一周学习天数,课外活动,深造,有恋爱关系,家庭融洽程度,一周空闲时间,一周外出时间,工作日酒精摄入,周末酒精摄入,健康程度
周建华,2022000000,home,2,5,no,yes,yes,3,7,1,4,3,1
彭勇,2022000001,reputation,3,7,yes,no,yes,2,4,6,1,2,2
董建平,2022000002,reputation,3,6,no,no,yes,5,2,2,1,3,5
曾语涵,2022000003,course,6,5,yes,yes,no,1,5,5,2,4,3
胡国强,2022000004,home,2,1,yes,yes,yes,1,7,4,3,1,3
彭欣然,2022000005,home,6,4,no,yes,yes,1,3,2,3,4,4
谢梦婷,2022000006,other,4,3,yes,no,yes,5,3,4,5,1,2
陈秀兰,2022000007,home,3,2,no,no,no,3,5,4,2,2,2
于梦婷,2022000008,reputation,1,2,yes,yes,no,4,4,4,2,4,2
王霞,2022000009,other,10,7,yes,no,yes,1,5,5,5,5,3
宋梦茜,2022000010,home,8,2,yes,no,no,3,3,2,3,1,1
高建军,2022000011,home,9,2,yes,no,yes,5,3,4,4,2,4
冯敏,2022000012,course,10,3,yes,yes,no,2,1,3,3,3,2
陈洋,2022000013,other,9,7,yes,no,no,4,7,7,4,2,2
陈欣宜,2022000014,course,2,2,yes,no,yes,5,5,3,1,5,3
许欣欣,2022000015,home,9,7,yes,yes,no,2,4,5,2,2,2
吴欣怡,2022000016,course,6,1,yes,no,no,3,2,3,3,5,2
卢志国,2022000017,reputation,4,2,yes,no,no,1,4,4,1,3,2
李文,2022000018,course,10,4,no,yes,no,2,5,5,5,5,5
傅语涵,2022000019,course,6,4,yes,no,yes,1,6,6,4,3,3
叶子轩,2022000020,course,9,4,yes,no,yes,3,7,5,4,1,1
吴国华,2022000021,course,8,2,yes,no,no,5,1,4,2,2,2
黄洋,2022000022,other,10,4,no,yes,yes,2,6,4,5,1,4
冯欣慧,2022000023,course,7,4,no,no,yes,3,5,5,3,3,3
郑梦茜,2022000024,home,9,1,yes,yes,yes,3,7,6,3,2,5
孙欣慧,2022000025,home,3,2,yes,no,no,5,2,6,4,2,1
贾明,2022000026,other,8,1,no,no,yes,1,4,2,5,1,2
蔡强,2022000027,home,6,7,no,no,yes,2,3,4,1,5,3
唐子豪,2022000028,home,8,3,no,no,no,2,2,4,5,4,4
林磊,2022000029,home,1,3,no,yes,no,2,4,2,4,1,3
许梦琪,2022000030,home,2,6,no,no,no,4,5,1,4,4,4
许文,2022000031,course,3,6,no,no,no,1,6,6,2,3,3
唐强,2022000032,reputation,8,5,yes,yes,yes,2,7,6,5,5,4
吕艳,2022000033,home,9,4,yes,yes,no,4,7,1,1,5,5
邓欣然,2022000034,course,2,2,yes,no,yes,2,6,5,1,5,5
萧洋,2022000035,reputation,7,7,yes,no,yes,1,2,2,5,4,3
吕雨晴,2022000036,home,10,4,yes,yes,yes,1,3,5,5,4,4
赵勇,2022000037,home,5,5,yes,no,yes,5,5,3,4,4,4
傅子豪,2022000038,course,2,7,yes,no,no,5,7,1,3,5,2
宋霞,2022000039,course,1,3,yes,no,yes,4,5,5,1,5,2
于娜,2022000040,reputation,8,5,yes,yes,no,4,1,6,4,4,4
董云,2022000041,reputation,9,2,no,no,no,3,3,5,5,5,5
萧杰,2022000042,course,10,3,yes,no,no,3,3,5,2,2,5
袁志华,2022000043,other,8,7,no,yes,no,1,1,6,3,1,3
徐娜,2022000044,course,5,1,no,no,yes,4,6,5,2,3,2
蔡芬,2022000045,course,4,4,yes,no,yes,1,5,2,3,4,1
高国平,2022000046,reputation,6,3,yes,yes,yes,5,4,3,5,3,5
蒋欣怡,2022000047,other,1,2,yes,yes,yes,4,7,4,4,1,2
吕建军,2022000048,home,1,1,yes,yes,yes,2,2,7,5,4,4
