姓名,学号,原因,往返时间,一周学习天数,课外活动,深造,有恋爱关系,家庭融洽程度,一周空闲时间,一周外出时间,工作日酒精摄入,周末酒精摄入,健康程度
QjhElFblpRGBnaxmaCN6S9COkQGObRMhPvZEVokKKiA=,Um3T9rBYG92K3P+X5THk8UPG6PaBUcCQXpUIl4mbYKc=,home,2,5,no,yes,yes,3,7,1,4,3,1
mqewhRyAVEu8pxmawgqde+Jx3hfCYHybZMYbothhUd0=,RlEWbdjgJcLZCNGsHpe/AQheJZOhgYlc7K96OhlOOhQ=,reputation,3,7,yes,no,yes,2,4,6,1,2,2
B2lnQYHsYRgqOOn2ir5aFauW7v/kLf3HO71mXm0tpVE=,7AUj3HEJCbWWkb9+KK+SFI4tYN/85JHEAqogORPMcj0=,reputation,3,6,no,no,yes,5,2,2,1,3,5
WstFIikq6I/wn1XW7nyLCNmj5zxx/xqmm7QjI96V67U=,dhDUvc6rfe1Dwr8aBn55OOGpUGbMODU8ONFoqMHYkkc=,course,6,5,yes,yes,no,1,5,5,2,4,3
60IRiZa8rhmHi4RXck9DoGX46ODuQeXRAV8fnbND3T4=,ywFGVnlyciYyHFfI02PHBMBaJ+XY4UOJMtuDlJOYL3s=,home,2,1,yes,yes,yes,1,7,4,3,1,3
uaSIQGhPCP0PaoXhzNFQmcCEWr/5eVEmbkhadHc2Dws=,c96YMCUPqSFp1btKEK0tT6OX70rltUY60IXY9PGkOxI=,home,6,4,no,yes,yes,1,3,2,3,4,4
aTXNRrqGzeQg6Oi69tMYhW2z2/8BSBSawfeMPtkUgjI=,xd3tNFhh7GgFPDlir+AQt8oAQdf8AaSgO6cBRF7tbqI=,other,4,3,yes,no,yes,5,3,4,5,1,2
T6jY9X2Qn/LscHp9SAiWjkVYnomENtmFUMSjpyoEjAY=,EF5z9mVg9e9DM7epxWz+RyGAzDMCCQXTuK8E25GPfOo=,home,3,2,no,no,no,3,5,4,2,2,2
y2bv7SA3WA0T0pHqzolhdIy09kHBOF64TY92iEvP2XI=,aqWxKpXxnAvB0TkwkAMDE5GoxPVZ+CIf3lUQqH3Ud1s=,reputation,1,2,yes,yes,no,4,4,4,2,4,2
RLQx1TVCKLP1/f0GPOrjWGfGgASspcCFTWTlmVS+y/0=,u02LQgr7bAUPz6b47pm35NSjljn7o5iWUtxPbJ04hqo=,other,10,7,yes,no,yes,1,5,5,5,5,3
MjyHEqX+47fBzxdVvMP9WVk5elQEs0ZwOEaKc44aAVg=,MrIOru3VyDy+d20Rc3NYs+MehtY+mmy/ugS8B550iGc=,home,8,2,yes,no,no,3,3,2,3,1,1
41iPfuD+VP5BoaN1sBKhKh1LDQUQjGFqw+0udVpO0kA=,WSYj7QEPep3KNbNkPh2xhwOo1AcBmv1S9GiKDI5/m4k=,home,9,2,yes,no,yes,5,3,4,4,2,4
