姓名,学号,挂科次数,gpa
周建华,2022000000,0,3.53
彭勇,2022000001,0,3.6
董建平,2022000002,3,3.34
曾语涵,2022000003,2,3.45
胡国强,2022000004,3,3.04
彭欣然,2022000005,0,3.77
谢梦婷,2022000006,2,3.19
陈秀兰,2022000007,1,3.98
于梦婷,2022000008,2,3.04
王霞,2022000009,1,3.59
宋梦茜,2022000010,1,3.93
高建军,2022000011,4,3.84
冯敏,2022000012,1,3.52
陈洋,2022000013,3,3.89
陈欣宜,2022000014,0,3.01
许欣欣,2022000015,0,3.35
吴欣怡,2022000016,4,3.64
卢志国,2022000017,0,3.3
李文,2022000018,1,3.43
傅语涵,2022000019,0,3.65
叶子轩,2022000020,0,3.1
吴国华,2022000021,1,3.29
黄洋,2022000022,2,3.56
冯欣慧,2022000023,2,3.91
郑梦茜,2022000024,1,3.79
孙欣慧,2022000025,2,3.99
贾明,2022000026,3,3.95
蔡强,2022000027,1,3.96
唐子豪,2022000028,0,3.39
林磊,2022000029,1,3.49
许梦琪,2022000030,0,3.05
许文,2022000031,0,3.11
唐强,2022000032,2,3.15
吕艳,2022000033,3,3.3
邓欣然,2022000034,4,3.97
萧洋,2022000035,4,3.57
吕雨晴,2022000036,1,3.4
赵勇,2022000037,2,3.56
傅子豪,2022000038,0,3.77
宋霞,2022000039,1,3.63
于娜,2022000040,1,3.89
董云,2022000041,0,3.41
萧杰,2022000042,3,3.1
袁志华,2022000043,3,3.4
徐娜,2022000044,4,3.69
蔡芬,2022000045,4,3.68
高国平,2022000046,2,3.9
蒋欣怡,2022000047,3,3.41
吕建军,2022000048,3,3.52
薛志强,2022000049,3,3.01
吴梦涵,2022000050,1,3.77
贾梦茜,2022000051,2,3.18
冯国强,2022000052,4,3.35
林浩然,2022000053,4,3.9
蔡宇轩,2022000054,1,3.46
张刚,2022000055,4,3.64
傅霞,2022000056,1,3.75
郭浩然,2022000057,4,3.1
朱梦璐,2022000058,4,3.09
丁梦涵,2022000059,4,3.92
卢欣慧,2022000060,4,3.72
黄梦婷,2022000061,3,3.48
苏建国,2022000062,4,3.22
郑云,2022000063,1,3.61
阎浩天,2022000064,1,3.62
许国平,2022000065,1,3.44
林志文,2022000066,2,3.53
黄欣慧,2022000067,3,3.92
蒋勇,2022000068,0,3.78
高梦茜,2022000069,1,3.72
谢志国,2022000070,3,3.77
贾强,2022000071,1,3.2
朱秀兰,2022000072,1,3.92
刘秀兰,2022000073,3,3.6
曾丽,2022000074,0,3.53
冯建华,2022000075,2,3.55
罗国华,2022000076,2,3.5
叶欣慧,2022000077,1,3.58
罗芳,2022000078,0,3.34
傅雨涵,2022000079,1,3.65
袁语蝶,2022000080,0,3.81
沈建国,2022000081,1,3.83
苏桂英,2022000082,1,3.3
贾浩然,2022000083,2,3.06
谢建平,2022000084,4,3.93
林雨涵,2022000085,3,3.1
宋志国,2022000086,3,3.66
张国华,2022000087,4,3.3
李勇,2022000088,0,3.61
林涛,2022000089,4,3.95
许芳,2022000090,0,3.67
王志国,2022000091,3,3.78
叶雨涵,2022000092,0,3.9
董梦琪,2022000093,4,3.63
沈军,2022000094,2,3.93
苏语涵,2022000095,1,3.71
萧子轩,2022000096,3,3.09
谢语晨,2022000097,0,3.62
何浩轩,2022000098,1,3.37
丁雨涵,2022000099,4,3.58
王勇,2022000100,3,3.18
郭梦婷,2022000101,4,3.65
林秀英,2022000102,2,3.31
丁建华,2022000103,0,3.73
卢志平,2022000104,0,3.39
吴丽,2022000105,2,3.33
黄欣然,2022000106,4,3.63
吕刚,2022000107,1,3.14
黄建华,2022000108,4,3.9
高梦涵,2022000109,1,3.52
黄涛,2022000110,4,3.65
傅明,2022000111,2,3.81
冯文,2022000112,2,3.07
蔡雨涵,2022000113,3,4.0
唐欣诺,2022000114,1,3.06
蔡梦茜,2022000115,2,3.12
冯艳,2022000116,0,3.4
曾娜,2022000117,2,3.17
丁静,2022000118,4,3.46
吕建平,2022000119,3,3.94
周志华,2022000120,2,3.77
王梦琪,2022000121,3,3.3
林雨欣,2022000122,0,3.8
刘刚,2022000123,4,3.79
张志文,2022000124,0,3.36
萧明,2022000125,1,3.75
赵建华,2022000126,2,3.47
沈浩天,2022000127,1,3.94
梁欣悦,2022000128,2,3.98
孙强,2022000129,2,3.5
董国华,2022000130,2,3.23
傅梦璐,2022000131,4,3.77
郑宇轩,2022000132,0,3.04
杨磊,2022000133,2,3.65
谢浩天,2022000134,3,3.09
陈欣欣,2022000135,2,3.0
阎秀兰,2022000136,3,3.17
孙洋,2022000137,3,3.4
袁芳,2022000138,1,3.74
谢国文,2022000139,1,3.28
贾子轩,2022000140,3,3.84
张梦涵,2022000141,3,3.28
冯欣悦,2022000142,1,3.99
杨欣悦,2022000143,3,3.25
冯欣欣,2022000144,1,3.72
卢静,2022000145,4,3.29
萧欣欣,2022000146,4,3.06
林娟,2022000147,3,3.74
宋志平,2022000148,2,3.99
黄欣怡,2022000149,3,3.36
叶建平,2022000150,3,3.85
蔡杰,2022000151,3,3.44
郭语晨,2022000152,0,3.5
刘志平,2022000153,4,3.9
沈欣然,2022000154,3,3.87
袁浩宇,2022000155,0,3.44
魏磊,2022000156,2,3.45
梁欣然,2022000157,3,3.62
胡云,2022000158,3,3.46
高芳,2022000159,4,3.7
贾语涵,2022000160,3,3.5
邓静,2022000161,2,3.85
阎欣诺,2022000162,0,3.1
魏国文,2022000163,2,3.1
郭刚,2022000164,2,3.64
傅国平,2022000165,1,3.61
谢梦琪,2022000166,3,3.04
丁雨欣,2022000167,2,3.68
丁秀英,2022000168,3,3.6
梁国华,2022000169,1,3.41
张雨涵,2022000170,0,3.49
徐玲,2022000171,0,3.19
叶雨轩,2022000172,1,3.91
吴浩然,2022000173,4,3.55
卢欣诺,2022000174,2,3.22
沈娜,2022000175,4,3.59
蔡勇,2022000176,4,3.69
刘语涵,2022000177,2,3.25
蔡娟,2022000178,1,3.49
于文,2022000179,4,3.53
宋浩宇,2022000180,0,3.9
曾欣慧,2022000181,0,3.42
陈梦涵,2022000182,4,3.21
蒋文,2022000183,1,3.68
叶桂兰,2022000184,2,3.8
陈磊,2022000185,2,3.61
萧欣慧,2022000186,1,3.44
冯芳,2022000187,1,3.72
阎梦琪,2022000188,3,3.59
徐涛,2022000189,3,3.07
蒋霞,2022000190,1,3.63
周娜,2022000191,1,3.99
袁国华,2022000192,1,3.67
朱建国,2022000193,0,3.63
叶雨泽,2022000194,2,3.37
萧国强,2022000195,2,3.77
曾芬,2022000196,4,3.43
蔡建华,2022000197,1,3.11
卢浩宇,2022000198,3,3.25
董国平,2022000199,0,3.46
吴敏,2022000200,1,3.74
吴子豪,2022000201,4,3.41
魏欣欣,2022000202,3,3.94
曾国强,2022000203,4,3.54
唐欣慧,2022000204,0,3.03
程超,2022000205,4,3.88
周军,2022000206,3,3.65
冯子轩,2022000207,1,3.81
曹志文,2022000208,1,3.91
高梦婷,2022000209,0,3.3
傅欣悦,2022000210,4,3.47
宋雨晴,2022000211,1,3.77
曾桂兰,2022000212,1,3.07
程欣诺,2022000213,2,3.7
叶军,2022000214,2,3.91
程子豪,2022000215,2,3.81
袁建平,2022000216,3,3.14
阎涛,2022000217,2,3.47
郭志文,2022000218,0,3.69
胡建华,2022000219,0,3.11
于雨欣,2022000220,4,3.13
彭志国,2022000221,4,3.59
薛雨晴,2022000222,1,3.19
孙语蝶,2022000223,0,3.56
何子豪,2022000224,4,3.49
孙国强,2022000225,0,3.04
