病患姓名,病患身份证号,时间,类型,费用,医生ID,日期
张晓明,430221199308098118,20:33,血液检查,50.0,D002,2023-06-12
李强,430221198507077118,09:15,尿液检查,30.0,D001,2023-06-13
王芳,430221199210046118,14:45,心电图,80.0,D002,2023-06-14
刘涛,430221198001022218,11:20,X光检查,100.0,D001,2023-06-15
陈静,430221199503086118,16:00,超声波检查,150.0,D002,2023-06-16
赵亮,430221198803193118,10:10,血糖检查,60.0,D001,2023-06-17
杨敏,430221198707072118,15:30,肝功能检查,70.0,D002,2023-06-18
吴斌,430221199608081118,08:50,胆囊超声,90.0,D001,2023-06-19
周丽,430221199902135118,13:00,心脏彩超,110.0,D002,2023-06-20
郑磊,430221198902081118,19:45,肺功能检查,120.0,D001,2023-06-21
冯雪,430221198511245118,12:30,血液检查,50.0,D002,2023-06-22
宋杰,430221198903202118,09:00,尿液检查,30.0,D001,2023-06-23
丁洁,430221199708150118,10:45,心电图,80.0,D002,2023-06-24
崔伟,430221199201098118,14:15,X光检查,100.0,D001,2023-06-25
潘华,430221199509058118,16:30,超声波检查,150.0,D002,2023-06-26
何丽,430221199804071118,08:20,血糖检查,60.0,D001,2023-06-27
韩磊,430221199202263118,11:10,肝功能检查,70.0,D002,2023-06-28
吕静,430221199601135118,15:00,胆囊超声,90.0,D001,2023-06-29
陆明,430221198506197118,20:30,心脏彩超,110.0,D002,2023-06-30
汤媛,430221199803143118,09:55,肺功能检查,120.0,D001,2023-07-01
