费用ID,患者姓名,患者身份证号,缴费时间,费用类型,金额,缴费日期
EXP00001,张晓明,430221199308098118,20:33,药品费,100.0,2023-06-15
EXP00002,李强,430221198507077118,09:15,检查费,50.0,2023-06-16
EXP00003,王芳,430221199210046118,14:45,住院费,2000.0,2023-06-17
EXP00004,刘涛,430221198001022218,11:20,治疗费,1500.0,2023-06-18
EXP00005,陈静,430221199503086118,16:00,药品费,120.0,2023-06-19
EXP00006,赵亮,430221198803193118,10:10,检查费,60.0,2023-06-20
EXP00007,杨敏,430221198707072118,15:30,住院费,1800.0,2023-06-21
EXP00008,吴斌,430221199608081118,08:50,治疗费,1500.0,2023-06-22
EXP00009,周丽,430221199902135118,13:00,药品费,90.0,2023-06-23
EXP00010,郑磊,430221198902081118,19:45,检查费,70.0,2023-06-24
EXP00011,冯雪,430221198511245118,12:30,住院费,2000.0,2023-06-25
EXP00012,宋杰,430221198903202118,09:00,治疗费,1500.0,2023-06-26
EXP00013,丁洁,430221199708150118,10:45,药品费,80.0,2023-06-27
EXP00014,崔伟,430221199201098118,14:15,检查费,100.0,2023-06-28
EXP00015,潘华,430221199509058118,16:30,住院费,2200.0,2023-06-29
EXP00016,何丽,430221199804071118,08:20,治疗费,1500.0,2023-06-30
EXP00017,韩磊,430221199202263118,11:10,药品费,70.0,2023-07-01
EXP00018,吕静,430221199601135118,15:00,检查费,90.0,2023-07-02
EXP00019,陆明,430221198506197118,20:30,住院费,2400.0,2023-07-03
EXP00020,汤媛,430221199803143118,09:55,治疗费,1600.0,2023-07-04
